url,status,panjang_domain,tanda_penghubung_domain,penggunaan_ssl,domain_tld,penggunaan_karakter_dilarang,panjang_karakter_spesial,batas_path,banyak_single_slash,banyak_titik,panjang_URL,isi_konten,favicon,cek_whois,openai_text_davinci_003
https://www.facebook.com/photo/?fbid=2334005530108574&set=pcb.2334005966775197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
http://zabgc.ru/file/Plan/Santander/Particulares.php,-1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1
https://www.babla.co.id/bahasa-inggris-bahasa-indonesia/legitimate,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1
https://xplusstore.com/cig-bin/lt/3mail@b.c,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1
https://www.facebook.com/photo?fbid=2381004508742009&set=pcb.2381004538742006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
https://www--wellsfargo--com--yy49329d48d6c.wsipv6.com/,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1
https://scontent.fkno6-1.fna.fbcdn.net/v/t39.30808-6/349096921_272295722026791_5613537576294068978_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=tOOIwkYG3HAAX_SnpBs&_nc_ht=scontent.fkno6-1.fna&oh=00_AfC_v-bx4WrclKAezg8r9-dK0ybAZiBqaJ3kP5cMBqfkyA&oe=647EF105,1,1,1,1,-1,1,-1,1,1,-1,-1,1,-1,1,1
https://www--wellsfargo--com--yw49329d48d6c.wsipv6.com/,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1
https://openphish.com/whatsnew.html,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1
https://www--wellsfargo--com--wn49329d48d6c.wsipv6.com/,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1
https://simamaung.com/persib-pinjamkan-henhen-ke-dewa-united-selama-semusim/,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1
https://www--wellsfargo--com--u749329d48d6c.wsipv6.com/locator/search/?searchtxt=mm&mlflg=n&sgindex=99&chflg=n&bo=1&_bo=on&_wl=on&_os=on&_bdu=on&_adu=on&_ah=on&_sdb=on&_aa=on&_nt=on,-1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1
https://www.facebook.com/photo/?fbid=2381004512075342&set=pcb.2381004538742006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
http://googeldrive-pe.com/,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1
https://react.dev/community/conferences,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1
https://www--wellsfargo--com--t849329d48d6c.wsipv6.com/es/,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1
https://www.police.govt.nz/contact-us/calling-emergency-111,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1
https://www--wellsfargo--com--pv49329d48d6c.wsipv6.com/,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1
https://pintu.co.id/blog/apa-itu-metaverse-di-dunia-crypto,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1
https://www--wellsfargo--com--ph49329d48d6c.wsipv6.com/,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1
https://www.linkedin.com/learning/?trk=nav_neptune_learning&,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1
https://www--wellsfargo--com--p049329d48d6c.wsipv6.com/,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1
https://indodax.com/login,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1
https://www--wellsfargo--com--lt49329d48d6c.wsipv6.com/,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1
